name,category,parent,synonyms,finding_type,finding_cluster,oifm_id
lung_abnormality,lung,,,,,OIFM_MSFT_737122
pulmonary_lesion,lung,lung_abnormality,,,,
airspace_opacity,lung,lung_abnormality,,observation,,
lung_postsurgical_change,lung,,,,,
pulmonary_nodule,lung,pulmonary_lesion,"Pulm nodule, lung nodule",observation,,OIFM_CDE_000195
pulmonary_hamartoma,lung,pulmonary_neoplasm,Hamartoma,diagnosis,,
calcified_granuloma,lung,pulmonary_granuloma,,diagnosis,,OIFM_MGB_314652
pulmonary_cyst,lung,pulmonary_lesion,,observation,,
consolidation,lung,airspace_opacity,"Airspace consolidation,Consolidative opacity",observation,,
air_trapping,lung,lung_abnormality,,observation,,
pulmonary_scarring,lung,lung_abnormality,"Apical scarring, Biapical scarring, Scarring,Parenchymal scarring",observation,,
honeycombing,lung,lung_abnormality,,observation,,
interlobular_septal_thickening,lung,lung_abnormality,,observation,,
intraparenchymal_lymph_node,lung,lung_abnormality,Intrapulmonary lymph node,observation,,OIFM_MGB_892782
emphysema,lung,lung_abnormality,Emphysematous changes,observation,,OIFM_OIDM_002082
tree_in_bud_opacity,lung,lung_abnormality,"Tree-in-bud pattern,Tree-in-bud nodules,Tree-in-bud nodularity,Tree-in-bud appearance",observation,,
reticular_opacity,lung,lung_abnormality,"Reticulation, Reticular pattern, Subpleural reticular opacity",observation,,
usual_interstitial_pneumonia,lung,pulmonary_fibrosis,UIP,diagnosis,,
radiation_fibrosis,lung,pulmonary_fibrosis,,diagnosis,,
wedge_resection,lung,pulmonary_resection,,observation,,OIFM_MGB_893730
lobectomy,lung,pulmonary_resection,,observation,,OIFM_MGB_340276
airway_abnormality,airway,,,,,OIFM_OIDM_449436
tracheal_abnormality,airway,airway_abnormality,,,,
bronchial_abnormality,airway,airway_abnormality,,,,
airway_anatomic_variant,airway,,,,,
tracheal_calcification,airway,tracheal_abnormality,,observation,,OIFM_OIDM_861352
tracheal_deviation,airway,tracheal_abnormality,,observation,,
tracheal_dilation,airway,tracheal_abnormality,Tracheomegaly,observation,,
tracheal_diverticulum,airway,tracheal_abnormality,Paratracheal diverticulum,observation,,OIFM_OIDM_554402
tracheal_secretions,airway,tracheal_abnormality,Tracheal mucus,observation,,
tracheal_stenosis,airway,tracheal_abnormality,,observation,,OIFM_OIDM_620490
tracheal_thickening,airway,tracheal_abnormality,Tracheal wall thickening,observation,,
tracheal_lesion,airway,tracheal_abnormality,Tracheal mass,,,
saber_sheath_trachea,airway,tracheal_abnormality,,observation,,OIFM_MGB_078804
