name,category,parent,synonyms,finding_type,finding_cluster,oifm_id
brain_parenchymal_abnormality,brain_parenchyma,,,,,OIFM_OIDM_063972
hypoattenuation,brain_parenchyma,brain_parenchymal_abnormality,"hypodensity, low attenuation, decreased attenuation",observation,,OIFM_OIDM_381117
hyperattenuation,brain_parenchyma,brain_parenchymal_abnormality,"hyperdensity, high attenuation, increased attenuation",observation,,OIFM_OIDM_485183
early_infarct_sign,brain_parenchyma,brain_parenchymal_abnormality,,observation,,OIFM_OIDM_813192
insular_ribbon_sign,brain_parenchyma,early_infarct_sign,loss of insular ribbon,observation,,OIFM_OIDM_802330
gray_white_matter_indistinction,brain_parenchyma,brain_parenchymal_abnormality,"loss of gray-white differentiation, loss of gray-white junction",observation,,
mass_effect,brain_parenchyma,brain_parenchymal_abnormality,,observation,,OIFM_OIDM_113253
midline_shift,brain_parenchyma,mass_effect,midline deviation,observation,,OIFM_OIDM_618974
sulcal_effacement,brain_parenchyma,mass_effect,"effaced sulci, sulcal crowding",observation,,OIFM_OIDM_392893
basal_cistern_effacement,brain_parenchyma,mass_effect,compressed cisterns,observation,,OIFM_OIDM_267712
ventricular_effacement,brain_parenchyma,mass_effect,"compressed ventricles, third ventricle narrowing, cerebral aqueduct narrowing, narrowing of the third ventricle and cerebral aqueduct, narrowing of the cerebral aqueduct",observation,,OIFM_OIDM_764784
herniation,brain_parenchyma,mass_effect,"brain herniation, cerebral herniation",observation,,OIFM_OIDM_943505
subfalcine_herniation,brain_parenchyma,herniation,subfalcine shift,observation,,OIFM_OIDM_259932
descending_transtentorial_herniation,brain_parenchyma,herniation,"descending transtentorial hernia, DTH",observation,,OIFM_OIDM_441726
uncal_herniation,brain_parenchyma,descending_transtentorial_herniation,,observation,,OIFM_OIDM_211678
medialization_of_uncus,brain_parenchyma,uncal_herniation,"uncal medialization, uncal displacement",observation,,OIFM_OIDM_213314
central_transtentorial_herniation,brain_parenchyma,descending_transtentorial_herniation,central herniation,observation,,OIFM_OIDM_069851
ascending_transtentorial_herniation,brain_parenchyma,herniation,"upward transtentorial herniation, upward herniation, ascending transtentorial hernia",observation,,OIFM_OIDM_856008
cerebellar_tonsillar_herniation,brain_parenchyma,herniation,"tonsillar herniation, foramen magnum herniation",observation,,OIFM_OIDM_439355
transalar_herniation,brain_parenchyma,herniation,"transalar hernia, sphenoid wing herniation",observation,,OIFM_OIDM_016167
extracranial_herniation,brain_parenchyma,herniation,"transcalvarial herniation, external herniation, transdural herniation, transcranial herniation",observation,,OIFM_OIDM_617772
intra_axial_lesion,brain_parenchyma,brain_parenchymal_abnormality,"brain lesion, intraparenchymal lesion, brain mass, intraparenchymal mass",observation,,OIFM_OIDM_582415
intra_axial_cyst,brain_parenchyma,intra_axial_lesion,"brain cyst, parenchymal cyst",observation,,OIFM_OIDM_093105
cerebral_atrophy,brain_parenchyma,brain_parenchymal_abnormality,"brain atrophy, brain volume loss, cerebral volume loss",observation,,OIFM_OIDM_786384
generalized_atrophy,brain_parenchyma,cerebral_atrophy,"diffuse cerebral atrophy, global atrophy, diffuse brain atrophy, generalized cerebral atrophy, prominent ventricles and sulci, the ventricles and sulci are prominent, enlarged ventricles and sulci, prominent ventricles and cortical sulci",observation,,
focal_atrophy,brain_parenchyma,cerebral_atrophy,"regional atrophy, focal volume loss",observation,,OIFM_OIDM_291655
enlarged_perivascular_space,brain_parenchyma,brain_parenchymal_abnormality,"dilated Virchow-Robin space, prominent perivascular space, dilated perivascular space, enlarged perivascular spaces",observation,,OIFM_OIDM_582546
parenchymal_calcification,brain_parenchyma,brain_parenchymal_abnormality,"brain parenchymal calcification, focal brain calcification",observation,,OIFM_OIDM_930805
thalamic_fusion,brain_parenchyma,brain_parenchymal_abnormality,"fused thalami, thalamic non-separation",observation,,OIFM_OIDM_219268
cerebral_hemispheric_fusion,brain_parenchyma,brain_parenchymal_abnormality,"hemispheric fusion, hemispheric non-separation, midline hemispheric fusion, frontal lobe fusion",observation,,OIFM_OIDM_937688
abnormal_enhancement,brain_parenchyma,brain_parenchymal_abnormality,"abnormal contrast uptake, pathologic enhancement",observation,,OIFM_OIDM_103376
ring_enhancement,brain_parenchyma,abnormal_enhancement,rim enhancement,observation,,OIFM_OIDM_273483
cerebral_edema,brain_parenchyma,brain_parenchymal_abnormality,brain edema,diagnosis,,OIFM_OIDM_888858
vasogenic_edema,brain_parenchyma,cerebral_edema,,diagnosis,,OIFM_OIDM_680433
cytotoxic_edema,brain_parenchyma,cerebral_edema,cellular edema,diagnosis,,OIFM_OIDM_366851
transependymal_edema,brain_parenchyma,cerebral_edema,"interstitial edema, periventricular edema",diagnosis,,OIFM_OIDM_867424
encephalomalacia,brain_parenchyma,brain_parenchymal_abnormality,,diagnosis,,OIFM_OIDM_821529
cystic_encephalomalacia,brain_parenchyma,encephalomalacia,,diagnosis,,OIFM_OIDM_732387
gliosis,brain_parenchyma,brain_parenchymal_abnormality,reactive gliosis,diagnosis,,OIFM_OIDM_240658
