id,name,category,parent_id,synonyms,actionability,oifm_id
FID0010,Air bronchograms,lung,,,incidental,
FID0020,Airspace opacity,lung,,"Air space opacity,Patchy opacity,Infiltrate,Hazy opacity,Lobar opacity",conditional,OIFM_CDE_000225
FID0030,Airspace opacities,lung,,"Airspace disease,Infiltrates",conditional,OIFM_CDE_000225
FID0040,Airway abnormality,lung,,,conditional,OIFM_OIDM_449436
FID0060,Pulmonary scarring,lung,,Scarring,incidental,OIFM_OIDM_745898
FID0070,Architectural distortion,lung,,,conditional,OIFM_OIDM_218019
FID0080,Aspiration,lung,,,significant,OIFM_OIDM_556992
FID0090,Atelectasis,lung,,"Linear atelectasis,Plate-like atelectasis,Discoid atelectasis,Collapse,Lung collapse",conditional,OIFM_OIDM_041735
FID0100,Azygos fissure,lung,,,incidental,OIFM_OIDM_149725
FID0110,Azygos lobe,lung,,,incidental,OIFM_OIDM_934275
FID0120,Accessory fissure,lung,,,incidental,OIFM_OIDM_114833
FID0130,Reticular opacities,lung,,"Reticular opacity,Interstitial opacities,Diffuse reticular opacities,Diffuse interstitial opacities",conditional,OIFM_OIDM_525484
FID0140,Batwing perihilar opacities,lung,,,significant,OIFM_OIDM_233741
FID0150,Thickening of bronchial wall,lung,,"Peribronchial cuffing,Bronchial wall thickening",incidental,OIFM_OIDM_961282
FID0160,Bronchiectasis,lung,,,incidental,OIFM_GMTS_013943
FID0170,Calcified nodule,lung,,Calcified granuloma,incidental,OIFM_OIDM_543357
FID0180,Cavitary lesion,lung,,"Cavitation,Cavitating mass,Cavitary lucency",significant,OIFM_CDE_000263
FID0190,Airspace consolidation,lung,FID0020,Consolidation,conditional,OIFM_OIDM_628702
FID0210,Diffuse hazy opacities,lung,,,conditional,OIFM_OIDM_923053
FID0220,Diffuse increased lung attenuation,lung,,,conditional,OIFM_OIDM_420478
FID0230,Diffuse increased lung lucency,lung,,,incidental,OIFM_OIDM_914730
FID0250,Diffuse nodular opacities,lung,,Miliary pattern,significant,OIFM_OIDM_204573
FID0260,Elevation of hemidiaphragm,lung,,Elevated hemidiaphragm,conditional,OIFM_OIDM_770950
FID0265,Depression of hemidiaphragm,lung,,Depressed hemidiaphragm,conditional,OIFM_OIDM_432021
FID0270,Emphysema,lung,,"Emphysematous changes,Bullous emphysema,Bullous disease",incidental,OIFM_OIDM_002082
FID0275,Bulla,lung,,Cystic space,incidental,OIFM_OIDM_072940
FID0280,Engorgement of pulmonary vasculature,lung,FID0305,"Pulmonary vascular congestion,Pulmonary venous congestion,Pulmonary venous hypertension",conditional,OIFM_OIDM_545430
FID0290,Cephalization of pulmonary vasculature,lung,FID0305,,conditional,OIFM_OIDM_125002
FID0300,Indistinct pulmonary vasculature,lung,FID0305,,incidental,OIFM_OIDM_565475
FID0305,Pulmonary vascular abnormality,lung,,"Abnormal pulmonary vasculature,Pulmonary vascular abnormality,Pulmonary vascularity abnormality,Pulmonary vasculature abnormality",conditional,OIFM_OIDM_113221
FID0310,Eventration of hemidiaphragm,lung,,,incidental,OIFM_OIDM_483201
FID0315,Diaphragmatic abnormality,lung,,Diaphragm abnormality,conditional,OIFM_OIDM_705569
FID0320,Thickening of fissure,lung,,,incidental,OIFM_OIDM_166982
FID0330,Flattening of hemidiaphragm,lung,,,incidental,OIFM_OIDM_716965
FID0360,Pulmonary calcification,lung,,,incidental,OIFM_OIDM_013283
FID0370,Hyperinflation of lungs,lung,,"Hyperexpanded lungs,Hyperinflated lungs",incidental,OIFM_OIDM_133070
FID0380,Interstitial pulmonary edema,lung,FID0600,"Kerley A lines,Kerley B lines,Pulmonary interstitial edema",significant,OIFM_OIDM_651696
