name,category,parent,synonyms,finding_type,finding_cluster,oifm_id
breast_abnormality,breast,,,,,
mass,breast,breast_abnormality,Breast mass,observation,,
calcification,breast,breast_abnormality,Breast calcification,observation,,
architectural_distortion,breast,breast_abnormality,Parenchymal distortion,observation,,
asymmetry,breast,breast_abnormality,,observation,,
global_asymmetry,breast,asymmetry,,observation,,
focal_asymmetry,breast,asymmetry,,observation,,
developing_asymmetry,breast,asymmetry,,observation,,
skin_abnormality,skin,,,,,
skin_retraction,skin,skin_abnormality,Skin dimpling,observation,,
skin_thickening,skin,skin_abnormality,,observation,,
skin_lesion,skin,skin_abnormality,,observation,,
nipple_abnormality,nipple,,,,,
nipple_retraction,nipple,nipple_abnormality,,observation,,
nipple_inversion,nipple,nipple_abnormality,,observation,,
lymph_node,lymph_node,,,,,
intramammary_lymph_node,lymph_node,lymph_node,,observation,,
abnormal_intramammary_lymph_node,lymph_node,intramammary_lymph_node,,observation,,
axillary_lymph_node,lymph_node,lymph_node,Axillary node,observation,,
abnormal_axillary_lymph_node,lymph_node,axillary_lymph_node,"Axillary adenopathy,Axillary lymphadenopathy",observation,,
duct_abnormality,duct,,,,,
dilated_duct,duct,duct_abnormality,Dilated ducts,observation,,
solitary_dilated_duct,duct,dilated_duct,SDD,observation,,
multiple_dilated_ducts,duct,dilated_duct,,observation,,
trabecular_thickening,breast,breast_abnormality,,observation,,
breast_density,breast_density,,,,,OIFM_MSFT_356221
almost_entirely_fatty,breast_density,breast_density,"Fatty breast composition,Fatty breasts",observation,,
scattered_fibroglandular_density,breast_density,breast_density,Scattered fibroglandular densities,observation,,
heterogeneously_dense,breast_density,breast_density,"Heterogeneously dense breast,Heterogeneously dense breasts",observation,,
extremely_dense,breast_density,breast_density,"Extremely dense breast,Extremely dense breasts",observation,,
gynecomastia,breast,breast_abnormality,,observation,,OIFM_MGB_789280
breast_implant,hardware,hardware_and_device,"Breast prosthesis,Breast augmentation",observation,,OIFM_MGB_654936
implant_abnormality,postsurgical,breast_postsurgical_change,,observation,,
implant_rupture,postsurgical,implant_abnormality,Ruptured implant,observation,,
implant_contracture,postsurgical,implant_abnormality,Capsular contracture,observation,,
breast_postsurgical_change,postsurgical,,,,,
mastectomy,postsurgical,breast_postsurgical_change,,observation,,OIFM_MGB_089921
lumpectomy_site,postsurgical,breast_postsurgical_change,Excisional biopsy site,observation,,
surgical_scar,postsurgical,breast_postsurgical_change,Post-surgical scar,observation,,
post_radiation_change,postsurgical,breast_postsurgical_change,Radiation change,observation,,
seroma,postsurgical,breast_postsurgical_change,Postoperative seroma,observation,,
hematoma,postsurgical,breast_postsurgical_change,Breast hematoma,observation,,
hardware_and_device,hardware,,,,,
biopsy_marker,hardware,hardware_and_device,"Biopsy clip,Tissue marker,Marker clip,Biopsy site marker",observation,,
surgical_clip,hardware,hardware_and_device,Metallic clip,observation,,
wire_localization,hardware,hardware_and_device,"Hookwire,Localization wire,Bracketing wire",observation,,
catheter,hardware,hardware_and_device,Port catheter,observation,,
exam_quality,exam_quality,,,,,
limited_examination,exam_quality,exam_quality,"Technically limited,Suboptimal study",observation,,
motion_artifact,exam_quality,exam_quality,Patient motion,observation,,OIFM_OIDM_659997
radiopaque_marker,exam_quality,exam_quality,"Palpable marker,Skin marker,BB marker",observation,,
radpath_correlation,radpath,,,,,
concordant_biopsy_result,radpath,radpath_correlation,,observation,,
discordant_biopsy_result,radpath,radpath_correlation,,observation,,
benign_epithelial_proliferation,epithelial_benign,,,,,
usual_ductal_hyperplasia,epithelial_benign,benign_epithelial_proliferation,UDH,diagnosis,,
columnar_cell_lesion,epithelial_benign,benign_epithelial_proliferation,"Columnar cell change,Columnar cell hyperplasia",diagnosis,,
adenosis,epithelial_benign,benign_epithelial_proliferation,,diagnosis,,
sclerosing_adenosis,epithelial_benign,adenosis,,diagnosis,,
apocrine_adenosis,epithelial_benign,adenosis,Apocrine adenoma,diagnosis,,
microglandular_adenosis,epithelial_benign,adenosis,,diagnosis,,
radial_scar,epithelial_benign,benign_epithelial_proliferation,"Complex sclerosing lesion,Radial sclerosing lesion",diagnosis,,
