name,category,parent,synonyms,finding_type,finding_cluster,oifm_id
disc_degeneration,disc,degenerative_disease,"Degenerative disc disease,DDD,Disc degenerative change,Discogenic disease,Degenerative disk disease",diagnosis,,
disc_desiccation,disc,disc_abnormality,"Disc dehydration,Nuclear signal loss,Black disc,Dark disc,Desiccated disc,Dehydrated disc,Decreased disc signal,Loss of disc hydration,Loss of T2 hyperintense signal",observation,,
disc_space_narrowing,disc,disc_abnormality,"Disc height loss,Decreased disc height,Loss of disc height,Disc collapse,Collapsed disc space,Reduced disc height,Narrowed disc space,Disc space loss,Disc height reduction",observation,,
disc_bulge,disc,disc_abnormality,"Disc bulging,Broad-based disc bulge,Diffuse disc bulge,Generalized disc displacement,Bulging disc,Circumferential bulge,Annular bulge,Diffuse disc extension,Disc uncovering,Uncovered disc",observation,,
disc_herniation,disc,disc_abnormality,"Herniated disc,Disc herniation,Herniated nucleus pulposus,HNP,Localized disc displacement,Focal disc displacement,Ruptured disc,Slipped disc,Displaced disc,Herniated disk,Disc prolapse,Prolapsed disc",observation,,
disc_protrusion,disc,disc_herniation,"Protruding disc,Disc protrusion,Protruded disc,Focal protrusion,Disc protrusion (focal)",observation,,
disc_extrusion,disc,disc_herniation,"Extruded disc,Disc extrusion,Extruded disc fragment",observation,,
disc_sequestration,disc,disc_extrusion,"Sequestered disc,Free fragment,Disc sequestration,Sequestered fragment,Free disc fragment,Sequestered disc material,Sequestrated disc,Sequestrated fragment",observation,,
annular_fissure,disc,disc_abnormality,"Annular tear,Annular disruption,Annular defect,Anular fissure,Anular tear,Disc tear,Disc fissure,Annulus tear,Annulus fissure,Disc fissuring,Annular fissuring,Fissuring of the disc",observation,,
high_intensity_zone,disc,disc_abnormality,"HIZ,High signal zone (posterior annulus),Bright spot (posterior annulus),T2 bright signal posterior annulus",observation,,
intradiscal_gas,disc,disc_abnormality,"Vacuum disc phenomenon,Vacuum disc,Vacuum phenomenon,Vacuum sign,Gas in disc,Intradiscal vacuum",observation,,
radial_fissure,disc,annular_fissure,"Radial annular fissure,Radial annular defect,Radial tear,Radial annular tear",observation,,
concentric_fissure,disc,annular_fissure,"Concentric annular fissure,Annular delamination,Delamination,Concentric tear,Concentric annular tear",observation,,
transverse_fissure,disc,annular_fissure,"Transverse annular fissure,Peripheral fissure,Apophyseal avulsion,Transverse tear,Transverse annular tear",observation,,
disc_calcification,disc,disc_abnormality,"Calcified disc,Intradiscal calcification,Disc calcium deposit,Calcified disk",observation,,
intradiscal_ossification,disc,disc_abnormality,"Disc ossification,Ossified disc",observation,,
loss_of_nucleus_anulus_distinction,disc,disc_abnormality,"Loss of nucleus-anulus demarcation,Blurred nucleus-anulus boundary,Indistinct nucleus-anulus interface,Loss of intranuclear cleft,Loss of disc architecture,Loss of normal disc architecture,Loss of normal disc signal pattern",observation,,
disc_structure_inhomogeneity,disc,disc_abnormality,"Inhomogeneous disc structure,Heterogeneous disc signal,Disc signal heterogeneity,Inhomogeneous disc signal",observation,,
horizontal_disc_band,disc,disc_abnormality,"Intranuclear cleft,Central horizontal band,Central disc band,Horizontal low signal band",observation,,
endplate_abnormality,osseous,osseous_abnormality,"Endplate changes,Vertebral endplate abnormality,Endplate signal abnormality,Endplate signal change,EC",,,
endplate_irregularity,osseous,endplate_abnormality,"Endplate degenerative change,Endplate roughness,Jagged endplate,Irregular endplate,Endplate degeneration,Vertebral endplate irregularity",observation,,
modic_type_1,osseous,endplate_abnormality,"Modic 1,Modic type 1,Type 1 endplate signal,MC-1,Inflammatory endplate signal,Fibrovascular endplate signal,Modic type I,Type I Modic,Modic I,Modic type 1 changes,Modic type 1 change,Modic 1 changes,Reactive endplate edema,Edematous endplate signal",observation,,
modic_type_2,osseous,endplate_abnormality,"Modic 2,Modic type 2,Type 2 endplate signal,MC-2,Fatty endplate signal,Yellow marrow conversion,Lipid marrow replacement,Modic type II,Type II Modic,Modic II,Modic type 2 changes,Modic type 2 change,Modic 2 changes,Fatty endplate marrow,Fatty marrow replacement (endplate)",observation,,
modic_type_3,osseous,endplate_abnormality,"Modic 3,Modic type 3,Type 3 endplate signal,MC-3,Sclerotic endplate signal,Modic type III,Type III Modic,Modic III,Modic type 3 changes,Modic type 3 change,Modic 3 changes",observation,,
schmorl_node,osseous,endplate_abnormality,"Schmorl's node,Endplate herniation,Intravertebral disc herniation,Intravertebral herniation,Endplate indentation,Focal endplate depression,Schmorl node,Schmorl's nodule",observation,,
endplate_edema,osseous,endplate_abnormality,"Endplate bone marrow edema,Endplate marrow edema,Subchondral edema (endplate),Marrow edema at the endplate",observation,,
mixed_modic_signal,osseous,endplate_abnormality,"Mixed Modic type,Mixed type endplate signal,Combined Modic,Modic type 1/2,Mixed Modic 1 and 2,Mixed Modic changes,Modic type 1 and 2 changes",observation,,
endplate_sclerosis,osseous,endplate_abnormality,"Endplate reactive sclerosis,Subchondral sclerosis (endplate),Sclerotic endplate,Endplate sclerotic changes",observation,,
endplate_fissuring,osseous,endplate_abnormality,"Endplate disruption,Endplate fissure",observation,,
endplate_fracture,osseous,endplate_abnormality,"Endplate break,Endplate cleft,Endplate linear defect,Vertebral endplate fracture",observation,,
endplate_defect,osseous,endplate_abnormality,"Structural endplate defect,Endplate discontinuity,Endplate lesion,Endplate damage,Endplate thinning",observation,,
endplate_erosion,osseous,endplate_abnormality,"Erosive endplate,Worm-eaten endplate,Serrated endplate,Erosive disc disease,Erosive endplate change",observation,,
endplate_calcification,osseous,endplate_abnormality,"Calcified endplate,Endplate mineralization",observation,,
