name,category,parent,synonyms,finding_type,finding_cluster,oifm_id
air_bronchogram,lung,lung_abnormality,,observation,,
airspace_opacity,lung,lung_abnormality,"Air space opacity,Infiltrate,Airspace disease",observation,,OIFM_CDE_000225
airway_abnormality,airway,,,,,OIFM_OIDM_449436
pulmonary_scarring,lung,lung_abnormality,Scarring,observation,,OIFM_OIDM_745898
architectural_distortion,lung,lung_abnormality,,observation,,OIFM_OIDM_218019
aspiration,lung,lung_abnormality,,diagnosis,,OIFM_OIDM_556992
atelectasis,lung,airspace_opacity,"Collapse,Lung collapse",observation,,OIFM_OIDM_041735
azygos_fissure,lung,lung_anatomic_variant,,observation,,OIFM_OIDM_149725
azygos_lobe,lung,lung_anatomic_variant,,observation,,OIFM_OIDM_934275
accessory_fissure,lung,lung_anatomic_variant,,observation,,OIFM_OIDM_114833
reticular_opacity,lung,lung_abnormality,Reticular opacities,observation,,OIFM_OIDM_525484
thickening_of_bronchial_wall,airway,bronchial_abnormality,"Peribronchial cuffing,Bronchial wall thickening",observation,,OIFM_OIDM_961282
bronchiectasis,airway,bronchial_abnormality,,observation,,OIFM_GMTS_013943
calcified_pulmonary_nodule,lung,pulmonary_nodule,"Calcified granuloma,Calcified nodule",observation,,OIFM_OIDM_543357
cavitary_lesion,lung,pulmonary_lesion,"Cavitation,Cavitary lucency",observation,,OIFM_CDE_000263
consolidation,lung,airspace_opacity,Airspace consolidation,observation,,OIFM_OIDM_628702
ground_glass_opacity,lung,airspace_opacity,"Hazy opacity,Ground-glass opacification,Ground glass opacification",observation,,OIFM_OIDM_923053
diffuse_increased_lung_lucency,lung,lung_lucency,,observation,,OIFM_OIDM_914730
miliary_pattern,lung,lung_abnormality,"Miliary nodules,Miliary nodularity",observation,,OIFM_OIDM_204573
elevation_of_hemidiaphragm,diaphragm,diaphragmatic_abnormality,Elevated hemidiaphragm,observation,,OIFM_OIDM_770950
depression_of_hemidiaphragm,diaphragm,diaphragmatic_abnormality,Depressed hemidiaphragm,observation,,OIFM_OIDM_432021
emphysema,lung,lung_abnormality,Emphysematous changes,diagnosis,,OIFM_OIDM_002082
bulla,lung,lung_lucency,Bullous changes,observation,,OIFM_OIDM_072940
engorgement_of_pulmonary_vasculature,lung,pulmonary_vascular_abnormality,"Pulmonary vascular congestion,Pulmonary venous congestion,Vascular congestion",observation,,OIFM_OIDM_545430
blood_flow_redistribution,lung,pulmonary_vascular_abnormality,"Cephalization of pulmonary vasculature,Cephalization,Vascular redistribution,Pulmonary vascular redistribution,Pulmonary venous redistribution",observation,,OIFM_OIDM_125002
indistinct_pulmonary_vasculature,lung,pulmonary_vascular_abnormality,"Vessel indistinctness,Vascular blurring",observation,,OIFM_OIDM_565475
pulmonary_vascular_abnormality,lung,lung_abnormality,"Abnormal pulmonary vasculature,Pulmonary vascularity abnormality,Pulmonary vasculature abnormality",,,OIFM_OIDM_113221
eventration_of_hemidiaphragm,diaphragm,diaphragmatic_abnormality,,observation,,OIFM_OIDM_483201
diaphragmatic_abnormality,diaphragm,,Diaphragm abnormality,,,OIFM_OIDM_705569
thickening_of_fissure,pleura,pleural_abnormality,,observation,,OIFM_OIDM_166982
flattening_of_hemidiaphragm,diaphragm,diaphragmatic_abnormality,,observation,,OIFM_OIDM_716965
pulmonary_calcification,lung,lung_abnormality,,observation,,OIFM_OIDM_013283
