name,category,parent,synonyms,finding_type,finding_cluster,oifm_id
arthroplasty,extrinsic,hardware,"Joint replacement,Joint prosthesis,Prosthetic joint",observation,,
revision_arthroplasty,extrinsic,arthroplasty,"Revised arthroplasty,Revision joint replacement,Redo arthroplasty",observation,,
megaprosthesis,extrinsic,arthroplasty,"Mega-prosthesis,Distal femoral replacement,Proximal femoral replacement,Tumor prosthesis,Segmental replacement prosthesis",observation,,
total_joint_arthroplasty,extrinsic,arthroplasty,"TJA,Total joint replacement,TJR,Total replacement",observation,,
total_hip_arthroplasty,extrinsic,total_joint_arthroplasty,"THA,Total hip replacement,THR,Hip replacement",observation,,
total_knee_arthroplasty,extrinsic,total_joint_arthroplasty,"TKA,Total knee replacement,TKR,Knee replacement",observation,,
total_shoulder_arthroplasty,extrinsic,total_joint_arthroplasty,"TSA,Total shoulder replacement,TSR,Shoulder replacement",observation,,
total_elbow_arthroplasty,extrinsic,total_joint_arthroplasty,"TEA,Total elbow replacement,Elbow replacement",observation,,
total_ankle_arthroplasty,extrinsic,total_joint_arthroplasty,"TAA,Total ankle replacement,Ankle replacement",observation,,
hemiarthroplasty,extrinsic,arthroplasty,Partial joint replacement,observation,,
reverse_arthroplasty,extrinsic,arthroplasty,,observation,,
unicompartmental_arthroplasty,extrinsic,arthroplasty,Unicondylar arthroplasty,observation,,
resurfacing_arthroplasty,extrinsic,arthroplasty,,observation,,
patellar_resurfacing,extrinsic,arthroplasty,"Patellar component,Patellar button,Resurfaced patella",observation,,
intramedullary_nail,extrinsic,hardware,"Intramedullary rod,IM nail,IM rod,Intramedullary fixation,Interlocking screw,Interlocking screws",observation,,
plate,extrinsic,hardware,"Plate and screws,Plate fixation,Plating,Bone plate,Plate and screw construct,Plate and screw fixation",observation,,
screw,extrinsic,hardware,"Screw fixation,Fixation screw,Fixation screws,Cannulated screw,Cannulated screws",observation,,
pin,extrinsic,hardware,"K-wire,Kirschner wire,Steinmann pin,Pin fixation,Fixation pin,Percutaneous fixation pin",observation,,
wire,extrinsic,hardware,"Cable fixation,Transosseous wire",observation,,
cerclage_wire,extrinsic,wire,"Cerclage wires,Cerclage fixation,Circumferential wire,Cerclage cable,Cerclage cables",observation,,OIFM_OIDM_178622
dynamic_hip_screw,extrinsic,plate,"DHS,Sliding hip screw,SHS,Compression hip screw",observation,,
external_fixator,extrinsic,hardware,External fixation,observation,,
suture_anchor,extrinsic,hardware,"Suture anchors,Anchor fixation",observation,,
bone_cement,extrinsic,hardware,"PMMA,Polymethylmethacrylate,Cement material",observation,,
antibiotic_spacer,extrinsic,hardware,"Cement spacer,Antibiotic cement spacer,Temporary spacer",observation,,
antibiotic_beads,extrinsic,hardware,"Antibiotic PMMA beads,Antibiotic cement beads,Antibiotic bead chain",observation,,
interference_screw,extrinsic,screw,,observation,,
lag_screw,extrinsic,screw,"Interfragmentary screw,Lag fixation,Compression screw",observation,,
bioabsorbable_screw,extrinsic,screw,"Bioabsorbable fixation screw,Radiolucent screw,Biodegradable screw,Resorbable screw",observation,,
tension_band,extrinsic,hardware,"Tension band wiring,Tension band fixation,TBW,Tension band construct,Figure-of-eight fixation",observation,,
fixation_staple,extrinsic,hardware,"Surgical fixation staples,Bone staples",observation,,
spinal_fusion_hardware,extrinsic,hardware,"Pedicle screws and rods,Spinal instrumentation",observation,,
interbody_cage,extrinsic,spinal_fusion_hardware,"Interbody spacer,Interbody fusion device,ALIF cage,PLIF cage,TLIF cage",observation,,
disc_replacement,extrinsic,hardware,"Artificial disc,Total disc replacement,Disc arthroplasty,Disc prosthesis",observation,,
hardware,extrinsic,,"Orthopedic hardware,Surgical hardware,Fixation hardware,Metallic hardware,Internal fixation,Metallic internal fixation,Instrumentation",,,
perihardware_fracture,osseous,fracture,"Fracture adjacent to hardware,Fracture around hardware",observation,,
periprosthetic_fracture,osseous,perihardware_fracture,Fracture around prosthesis,observation,,
hardware_abnormality,extrinsic,,"Hardware complication,Hardware-related complication",,,OIFM_OIDM_027028
hardware_failure,extrinsic,hardware_abnormality,"Broken hardware,Fractured hardware,Hardware breakage,Hardware fracture",observation,,OIFM_OIDM_189489
hardware_loosening,extrinsic,hardware_abnormality,"Prosthetic loosening,Component loosening,Implant loosening",diagnosis,,OIFM_OIDM_140821
